epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.2754,2.60597,7.36009,0.02775,0.00061,0.08414,0.00108,0.00014,2.76459,6.17261,0.03211,0.00013,0.00013,0.08713
2,30.7619,2.40389,4.58293,0.02478,0.75444,0.00862,0.00333,0.0004,2.83175,8.8031,0.03583,0.000269934,0.000269934,0.0732699
3,41.2968,2.17602,4.07163,0.0229,0.02719,0.29089,0.00822,0.00179,2.73853,5.40374,0.03662,0.0004096,0.0004096,0.0594096
4,50.3269,2.17283,3.68424,0.02193,0.05546,0.456,0.05815,0.02508,2.28989,4.15148,0.02908,0.000548792,0.000548792,0.0455488
5,61.8939,2.11763,3.56605,0.02171,0.18213,0.16747,0.1035,0.03504,2.40412,3.61428,0.02842,0.000687307,0.000687307,0.0316873
6,74.7122,2.15547,3.45608,0.02112,0.08357,0.21988,0.08978,0.03703,2.39869,4.41731,0.0278,0.000824942,0.000824942,0.0178249
7,83.7028,2.13643,3.39291,0.02305,0.09992,0.12096,0.08141,0.03105,2.29603,3.58325,0.02742,0.000961495,0.000961495,0.0039615
8,94.8652,2.16648,3.23951,0.02151,0.08672,0.17778,0.09023,0.03638,2.30078,4.88163,0.02775,0.000988079,0.000988079,0.000988079
9,109.246,2.0792,3.19274,0.02082,0.12679,0.1766,0.14574,0.05265,2.33094,4.42251,0.02597,0.000984449,0.000984449,0.000984449
10,123.641,2.05773,3.08273,0.02099,0.42857,0.20212,0.16358,0.06039,2.25903,6.43757,0.02636,0.000980345,0.000980345,0.000980345
11,140.432,2.07224,3.09501,0.02198,0.40562,0.14617,0.10122,0.03518,2.24729,4.76462,0.0267,0.000975773,0.000975773,0.000975773
12,154.35,2.01705,2.95627,0.02025,0.15369,0.24269,0.09357,0.03673,2.30696,5.33667,0.02867,0.000970736,0.000970736,0.000970736
13,164.558,2.06176,2.93002,0.02048,0.53111,0.14315,0.14631,0.05928,2.42022,3.30167,0.03073,0.000965239,0.000965239,0.000965239
14,179.077,2.02522,2.73875,0.01952,0.67982,0.15219,0.13725,0.05479,2.455,4.67656,0.02951,0.000959289,0.000959289,0.000959289
15,193.077,2.03755,2.83613,0.01887,0.68958,0.16108,0.15174,0.06776,2.15525,4.08131,0.02537,0.000952889,0.000952889,0.000952889
16,207.948,2.05196,2.96893,0.02239,0.38878,0.21805,0.14194,0.0605,2.1285,3.40841,0.02435,0.000946048,0.000946048,0.000946048
17,220.025,2.00445,2.9612,0.01847,0.15891,0.24816,0.16374,0.06416,2.26725,3.65578,0.02637,0.000938772,0.000938772,0.000938772
18,234.792,1.99459,2.93431,0.01942,0.23891,0.20598,0.16795,0.08155,2.34882,5.24433,0.0278,0.000931067,0.000931067,0.000931067
19,259.4,2.10572,2.88439,0.02259,0.25039,0.2118,0.169,0.08257,2.37242,8.31528,0.02978,0.000922942,0.000922942,0.000922942
20,279.627,2.02743,2.75561,0.02068,0.19326,0.34458,0.17808,0.06827,2.16077,4.25377,0.02395,0.000914405,0.000914405,0.000914405
21,295.733,1.99618,2.68289,0.0212,0.24713,0.31407,0.24392,0.10889,2.17423,3.99012,0.02595,0.000905463,0.000905463,0.000905463
22,318.901,1.98224,2.7172,0.01889,0.17761,0.27491,0.2111,0.0915,2.41485,4.74222,0.02729,0.000896127,0.000896127,0.000896127
23,331.181,1.94928,2.67194,0.01968,0.21453,0.29046,0.22608,0.09889,2.04452,3.68611,0.02439,0.000886404,0.000886404,0.000886404
24,349.173,1.94684,2.62172,0.01775,0.3519,0.36712,0.27701,0.10413,2.3465,3.10417,0.02648,0.000876305,0.000876305,0.000876305
25,361.711,1.9253,2.71514,0.02081,0.33323,0.2228,0.24404,0.09878,2.35927,3.01352,0.02738,0.000865839,0.000865839,0.000865839
