epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.7874,2.58013,6.20569,0.02788,0,0,0,0,3.79583,6.83846,0.05658,0.00013,0.00013,0.08713
2,38.2237,2.29674,4.95239,0.02351,0,0,0,0,3.68432,6.11593,0.05106,0.000269934,0.000269934,0.0732699
3,41.9522,2.18699,4.75483,0.02263,0,0,0,0,3.4129,6.01909,0.04591,0.0004096,0.0004096,0.0594096
4,45.5573,2.11875,4.52389,0.02078,0,0,0,0,2.98814,5.82735,0.03722,0.000548792,0.000548792,0.0455488
5,50.8812,1.98883,4.33774,0.02003,0.00751,0.05493,0.00394,0.00118,2.35456,5.27452,0.02826,0.000687307,0.000687307,0.0316873
6,55.3184,2.01089,4.14229,0.0198,0.0042,0.22835,0.01978,0.00544,2.12249,4.77399,0.02558,0.000824942,0.000824942,0.0178249
7,58.8925,1.89999,3.95543,0.02071,0.04232,0.48509,0.11655,0.04553,2.05511,4.31085,0.02381,0.000961495,0.000961495,0.0039615
8,62.5169,1.94057,3.78164,0.01893,0.2111,0.18203,0.10799,0.04885,2.01474,3.94569,0.02399,0.000988079,0.000988079,0.000988079
9,68.3349,1.94372,3.61788,0.01928,0.41849,0.14824,0.11164,0.05397,1.88009,3.83375,0.02064,0.000984449,0.000984449,0.000984449
10,71.9725,1.92976,3.55703,0.01919,0.23258,0.20732,0.13642,0.04831,2.01972,3.71543,0.02301,0.000980345,0.000980345,0.000980345
11,76.3275,1.87441,3.56299,0.01914,0.39545,0.2239,0.14344,0.05147,2.12133,3.75403,0.0244,0.000975773,0.000975773,0.000975773
12,81.1408,1.84897,3.41413,0.01716,0.6218,0.15678,0.13705,0.06575,2.10897,4.89056,0.02337,0.000970736,0.000970736,0.000970736
13,85.1969,1.84999,3.42029,0.01786,0.21245,0.19898,0.15147,0.06663,2.06048,3.69824,0.02409,0.000965239,0.000965239,0.000965239
14,88.8614,1.79756,3.04322,0.01632,0.14633,0.2195,0.17596,0.09905,2.02201,3.49807,0.02366,0.000959289,0.000959289,0.000959289
15,92.3288,1.8086,3.15316,0.01605,0.29261,0.25919,0.19038,0.09635,2.03114,3.5007,0.02304,0.000952889,0.000952889,0.000952889
16,97.7291,1.79371,3.19012,0.01854,0.17883,0.25095,0.15171,0.0709,1.99667,3.3696,0.02305,0.000946048,0.000946048,0.000946048
17,101.256,1.87273,3.24224,0.01642,0.1883,0.27969,0.15861,0.07608,1.90958,3.33129,0.02289,0.000938772,0.000938772,0.000938772
18,104.893,1.77394,3.23159,0.01651,0.48118,0.24256,0.20498,0.09225,1.9972,3.30047,0.02232,0.000931067,0.000931067,0.000931067
19,109.349,1.8056,3.14664,0.01807,0.17325,0.2063,0.17697,0.0849,2.00564,3.22817,0.02276,0.000922942,0.000922942,0.000922942
