epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9445,2.60695,12.1587,0.02791,3e-05,0.00862,0,0,4.11275,440.564,0.04982,0.00013,0.00013,0.08713
2,25.2146,2.60791,5.03827,0.02836,1e-05,0.00862,0,0,3.50421,17.4205,0.0457,0.000269934,0.000269934,0.0732699
3,29.7456,2.48877,4.5809,0.02826,0.00028,0.07478,7e-05,1e-05,3.51039,8.14867,0.04456,0.0004096,0.0004096,0.0594096
4,34.1872,2.39266,4.15649,0.02647,0.00507,0.17005,0.01084,0.00564,2.81293,5.3098,0.03421,0.000548792,0.000548792,0.0455488
5,40.2048,2.16499,3.87927,0.02229,0.54085,0.03168,0.03581,0.01516,2.46869,4.5914,0.03247,0.000687307,0.000687307,0.0316873
6,44.9911,2.05136,3.58262,0.02137,0.35386,0.07384,0.08561,0.02869,2.38182,4.67141,0.03074,0.000824942,0.000824942,0.0178249
7,49.4567,2.13219,3.43964,0.02324,0.13932,0.17984,0.10121,0.03761,2.25901,4.07728,0.02668,0.000961495,0.000961495,0.0039615
8,55.6367,2.11771,3.36568,0.02086,0.11466,0.24406,0.09455,0.03583,2.43695,4.68562,0.02943,0.000988079,0.000988079,0.000988079
9,59.8985,2.01322,3.25198,0.02035,0.09653,0.11611,0.08041,0.032,2.22482,3.86349,0.02541,0.000984449,0.000984449,0.000984449
10,64.1813,2.09998,3.24212,0.02152,0.12682,0.15706,0.11074,0.0499,2.20319,3.66814,0.02613,0.000980345,0.000980345,0.000980345
11,70.0613,2.05981,3.23221,0.02102,0.12521,0.19563,0.13613,0.07075,2.15312,3.67983,0.02475,0.000975773,0.000975773,0.000975773
12,74.4492,2.01315,3.09089,0.01998,0.11644,0.20018,0.14653,0.07253,2.09142,3.35026,0.02469,0.000970736,0.000970736,0.000970736
13,79.0211,2.00386,3.07755,0.01917,0.24572,0.21896,0.18697,0.08591,2.09856,3.14044,0.02511,0.000965239,0.000965239,0.000965239
14,85.0616,2.0174,2.8188,0.01912,0.23125,0.20657,0.20992,0.07901,2.21793,3.18853,0.02553,0.000959289,0.000959289,0.000959289
15,89.3261,1.93866,2.93967,0.01847,0.25316,0.1724,0.21513,0.09401,2.24176,3.14634,0.02581,0.000952889,0.000952889,0.000952889
16,93.7043,2.1147,2.95766,0.02319,0.21852,0.27529,0.18292,0.08256,2.17872,3.15075,0.02684,0.000946048,0.000946048,0.000946048
17,99.2036,1.99726,2.88271,0.02042,0.18944,0.28587,0.21462,0.08504,2.11304,3.10615,0.02274,0.000938772,0.000938772,0.000938772
18,103.741,1.99828,2.9825,0.01958,0.21107,0.22147,0.16464,0.06385,2.21847,3.55512,0.02453,0.000931067,0.000931067,0.000931067
19,107.975,2.05851,2.94129,0.02178,0.20172,0.27436,0.19617,0.08639,2.07713,3.15475,0.02286,0.000922942,0.000922942,0.000922942
20,113.507,1.91291,2.73952,0.01883,0.27308,0.24464,0.25194,0.11529,2.217,3.18635,0.02567,0.000914405,0.000914405,0.000914405
21,118.33,1.91455,2.69249,0.01949,0.24127,0.28369,0.27273,0.11219,2.12877,3.01039,0.02491,0.000905463,0.000905463,0.000905463
22,122.57,1.91946,2.67634,0.01838,0.56821,0.30432,0.31062,0.12863,2.19273,3.03654,0.02432,0.000896127,0.000896127,0.000896127
23,128.068,1.85315,2.75879,0.01797,0.25403,0.3025,0.25067,0.11342,2.15871,2.94824,0.02382,0.000886404,0.000886404,0.000886404
24,133.012,1.87084,2.44812,0.01698,0.5472,0.21956,0.26903,0.13088,2.09837,2.77546,0.02358,0.000876305,0.000876305,0.000876305
25,137.296,1.85953,2.67718,0.02087,0.26648,0.29809,0.26887,0.14248,2.02918,2.61016,0.0231,0.000865839,0.000865839,0.000865839
26,142.678,1.88273,2.55147,0.01888,0.39039,0.27597,0.29582,0.14513,2.01436,2.66232,0.02388,0.000855018,0.000855018,0.000855018
27,147.686,1.96781,2.63598,0.02011,0.30431,0.30797,0.27642,0.12983,1.87377,2.76178,0.02119,0.000843851,0.000843851,0.000843851
28,151.986,1.80703,2.52467,0.0192,0.39179,0.32045,0.27593,0.13472,2.07111,2.61957,0.02172,0.000832349,0.000832349,0.000832349
29,156.876,1.81879,2.39536,0.01796,0.24977,0.38008,0.24784,0.10636,2.11142,2.65792,0.02299,0.000820525,0.000820525,0.000820525
30,162.364,1.91081,2.43624,0.01931,0.22403,0.31834,0.24895,0.0936,1.99432,3.00479,0.02299,0.000808389,0.000808389,0.000808389
31,166.592,1.80313,2.37195,0.01792,0.45796,0.24707,0.23843,0.10262,2.01537,2.8932,0.0216,0.000795954,0.000795954,0.000795954
32,171.32,1.8074,2.34698,0.01872,0.29453,0.30812,0.25953,0.11171,2.05389,2.79193,0.02195,0.000783231,0.000783231,0.000783231
33,176.663,1.80992,2.29103,0.01677,0.39238,0.25362,0.2912,0.12446,2.0871,2.78414,0.02308,0.000770234,0.000770234,0.000770234
34,181.01,1.76157,2.3076,0.01796,0.249,0.34347,0.28197,0.12625,2.20789,2.74487,0.02529,0.000756976,0.000756976,0.000756976
35,185.505,1.81779,2.35204,0.01812,0.38586,0.40503,0.3599,0.15983,2.01579,2.46356,0.02313,0.000743468,0.000743468,0.000743468
36,191.251,1.76068,2.1989,0.01657,0.31711,0.3561,0.37415,0.16825,2.0556,2.38692,0.02268,0.000729725,0.000729725,0.000729725
37,195.593,1.84594,2.2088,0.01769,0.61127,0.31205,0.35511,0.16618,2.0488,2.48333,0.02219,0.000715761,0.000715761,0.000715761
38,200.421,1.77202,2.13194,0.01746,0.60804,0.32255,0.34173,0.17146,1.83911,2.55858,0.01979,0.000701588,0.000701588,0.000701588
39,206.046,1.7811,2.17144,0.01702,0.33737,0.40121,0.32212,0.14449,2.035,2.46994,0.02157,0.000687222,0.000687222,0.000687222
40,210.324,1.80896,2.08319,0.01776,0.41078,0.39912,0.36696,0.16962,1.95756,2.51615,0.02166,0.000672675,0.000672675,0.000672675
41,214.524,1.77407,2.0527,0.01618,0.36814,0.39257,0.3497,0.15661,2.08381,2.44466,0.02381,0.000657963,0.000657963,0.000657963
42,220.352,1.81312,1.99975,0.01693,0.32814,0.37201,0.32922,0.14473,2.0435,2.40103,0.02274,0.000643101,0.000643101,0.000643101
43,224.589,1.74145,1.96518,0.01858,0.5713,0.34594,0.39381,0.1752,2.06097,2.20981,0.02443,0.000628101,0.000628101,0.000628101
44,229,1.71801,1.97207,0.01692,0.39812,0.51606,0.43345,0.19112,2.10734,2.34865,0.02462,0.000612981,0.000612981,0.000612981
45,234.979,1.73304,1.94384,0.01636,0.41167,0.45865,0.417,0.18857,2.15134,2.41591,0.02482,0.000597754,0.000597754,0.000597754
46,239.453,1.6768,1.95174,0.01612,0.45859,0.37735,0.37239,0.18099,2.04493,2.3175,0.02389,0.000582435,0.000582435,0.000582435
47,243.659,1.75314,1.95475,0.01864,0.39242,0.45152,0.39766,0.19777,2.02852,2.22795,0.02305,0.00056704,0.00056704,0.00056704
48,249.615,1.75555,1.89781,0.01772,0.43731,0.44002,0.4136,0.20003,2.01222,2.2441,0.02238,0.000551584,0.000551584,0.000551584
49,254.024,1.66785,1.79348,0.01549,0.52525,0.47358,0.44878,0.19881,1.96354,2.26227,0.02294,0.000536081,0.000536081,0.000536081
50,258.368,1.59412,1.97067,0.01607,0.52142,0.40565,0.40721,0.18219,2.03615,2.33556,0.02407,0.000520548,0.000520548,0.000520548
51,264.106,1.63861,1.84345,0.01573,0.44825,0.41076,0.39727,0.17701,2.00996,2.38063,0.02309,0.000505,0.000505,0.000505
52,268.761,1.62664,1.90245,0.01525,0.41411,0.44655,0.39865,0.19627,2.065,2.17048,0.02385,0.000489452,0.000489452,0.000489452
53,273.021,1.60684,1.76212,0.01438,0.43188,0.46686,0.41853,0.21838,1.95089,2.38325,0.02184,0.000473919,0.000473919,0.000473919
54,278.692,1.65527,1.82347,0.016,0.40069,0.42491,0.3956,0.20844,1.98374,2.28218,0.02327,0.000458416,0.000458416,0.000458416
55,283.417,1.64239,1.66887,0.01714,0.37512,0.43734,0.38997,0.20007,2.10053,2.19937,0.02452,0.00044296,0.00044296,0.00044296
56,287.688,1.64332,1.7477,0.01537,0.46974,0.41477,0.41319,0.19928,2.13725,2.21182,0.02445,0.000427565,0.000427565,0.000427565
57,293.081,1.65221,1.78404,0.01795,0.3718,0.46996,0.41458,0.20367,2.04519,2.28512,0.02339,0.000412246,0.000412246,0.000412246
58,297.757,1.62744,1.6388,0.01412,0.54558,0.38809,0.41548,0.22043,1.9552,2.39557,0.02235,0.000397019,0.000397019,0.000397019
